n,tempo_ms
10,0.001467
10010,0.001886
20010,0.001397
30010,0.001397
40010,0.001397
50010,0.001467
60010,0.001397
70010,0.001467
80010,0.001397
90010,0.001397
100010,0.001467
110010,0.001397
120010,0.001467
130010,0.001467
140010,0.001397
150010,0.001396
160010,0.000978
170010,0.001467
180010,0.001397
190010,0.001397
200010,0.000978
210010,0.000978
220010,0.002445
230010,0.001396
240010,0.000908
250010,0.002374
260010,0.001327
270010,0.001397
280010,0.000977
290010,0.007194
300010,0.001397
310010,0.000978
320010,0.001466
330010,0.001397
340010,0.001466
350010,0.001397
360010,0.001816
370010,0.000908
380010,0.001466
390010,0.001397
400010,0.001397
410010,0.001956
420010,0.001397
430010,0.001397
440010,0.001396
450010,0.001467
460010,0.001467
470010,0.000977
480010,0.001467
490010,0.001886
500010,0.001467
510010,0.001397
520010,0.001397
530010,0.001397
540010,0.001467
550010,0.001396
560010,0.001467
570010,0.001955
580010,0.001467
590010,0.001396
600010,0.001956
610010,0.000978
620010,0.001886
630010,0.002305
640010,0.001886
650010,0.001397
660010,0.001955
670010,0.001466
680010,0.002445
690010,0.000978
700010,0.001886
710010,0.001396
720010,0.002794
730010,0.001397
740010,0.001397
750010,0.000977
760010,0.000908
770010,0.002444
780010,0.001397
790010,0.002934
800010,0.001467
810010,0.002375
820010,0.001467
830010,0.002933
840010,0.002375
850010,0.002794
860010,0.001886
870010,0.001955
880010,0.002445
890010,0.002375
900010,0.000908
910010,0.002444
920010,0.001886
930010,0.002375
940010,0.001886
950010,0.001956
960010,0.003422
970010,0.001397
980010,0.002864
990010,0.001816
1000010,0.002444
1010010,0.001886
1020010,0.001397
1030010,0.002375
1040010,0.002933
1050010,0.000977
1060010,0.002305
1070010,0.002863
1080010,0.001885
1090010,0.001467
1100010,0.003353
1110010,0.002864
1120010,0.002863
1130010,0.002863
1140010,0.001886
1150010,0.002375
1160010,0.002374
1170010,0.002933
1180010,0.003772
1190010,0.001956
1200010,0.002304
1210010,0.002444
1220010,0.001466
1230010,0.001886
1240010,0.001467
1250010,0.002375
1260010,0.001467
1270010,0.002375
1280010,0.002794
1290010,0.001886
1300010,0.001886
1310010,0.002375
1320010,0.002934
1330010,0.002444
1340010,0.002375
1350010,0.002374
1360010,0.002374
1370010,0.001397
1380010,0.002864
1390010,0.001886
1400010,0.002864
1410010,0.001467
1420010,0.002374
1430010,0.001886
1440010,0.002375
1450010,0.001467
1460010,0.001816
1470010,0.002375
1480010,0.002304
1490010,0.003422
1500010,0.002375
1510010,0.002374
1520010,0.002374
1530010,0.002304
1540010,0.001886
1550010,0.002793
1560010,0.002375
1570010,0.001397
1580010,0.001885
1590010,0.002445
1600010,0.002375
1610010,0.002375
1620010,0.001956
1630010,0.002375
1640010,0.002444
1650010,0.003772
1660010,0.001885
1670010,0.003771
1680010,0.002863
1690010,0.001467
1700010,0.002305
1710010,0.002375
1720010,0.002375
1730010,0.001816
1740010,0.003352
1750010,0.002793
1760010,0.001886
1770010,0.002375
1780010,0.002375
1790010,0.001955
1800010,0.002375
1810010,0.002864
1820010,0.003841
1830010,0.002864
1840010,0.002375
1850010,0.002375
1860010,0.002445
1870010,0.002374
1880010,0.001886
1890010,0.002305
1900010,0.002374
