n,tempo_ms
10,0.000978
10010,0.023746
20010,0.047073
30010,0.069631
40010,0.095892
50010,0.116635
60010,0.141638
70010,0.162939
80010,0.188851
90010,0.207289
100010,0.237251
110010,0.253384
120010,0.286209
130010,0.303041
140010,0.330699
150010,0.352977
160010,0.364012
170010,0.384964
180010,0.428615
190010,0.451314
200010,0.481206
210010,0.539802
220010,0.601962
230010,0.551955
240010,0.566273
250010,0.576959
260010,0.615720
270010,0.630596
280010,0.681651
290010,0.656507
300010,0.702043
310010,0.702463
320010,0.745415
330010,0.787460
340010,0.826012
350010,0.925256
360010,0.959758
370010,0.854368
380010,0.895993
390010,0.897250
400010,1.018984
410010,0.948304
420010,0.966742
430010,0.986088
440010,1.009206
450010,1.089383
460010,1.105726
470010,1.071224
480010,1.118019
490010,1.119415
500010,1.155244
510010,1.186742
520010,1.190514
530010,1.221872
540010,1.244012
550010,1.262171
560010,1.280749
570010,1.316018
580010,1.334177
590010,1.355758
600010,1.365047
610010,1.407510
620010,1.451021
630010,1.431465
640010,1.467713
650010,1.511295
660010,1.530710
670010,1.570240
680010,1.622062
690010,1.595313
700010,1.592939
710010,1.634843
720010,1.718164
730010,1.694767
740010,1.697840
750010,1.762862
760010,1.750501
770010,1.791427
780010,1.793104
790010,1.825021
800010,1.902964
810010,1.898633
820010,1.946335
830010,1.927687
840010,1.938583
850010,1.937884
860010,2.029097
870010,2.013312
880010,2.021414
890010,2.051446
900010,2.068138
910010,2.085669
920010,2.143985
930010,2.157325
940010,2.246583
950010,2.242951
960010,2.227935
970010,2.261459
980010,2.253567
990010,2.258735
1000010,2.309998
1010010,2.347573
1020010,2.374741
1030010,2.403026
1040010,2.420487
1050010,2.429497
1060010,2.502970
1070010,2.494169
1080010,2.516030
1090010,2.536144
1100010,2.580354
1110010,2.576094
1120010,2.627287
1130010,2.673103
1140010,2.666957
1150010,2.652569
1160010,2.682322
1170010,2.713820
1180010,2.717941
1190010,2.805312
1200010,2.778354
1210010,2.851966
1220010,2.846937
1230010,2.863490
1240010,2.888982
1250010,2.886328
1260010,2.939268
1270010,2.921249
1280010,2.974817
1290010,2.974747
1300010,2.981382
1310010,3.033204
1320010,3.050035
1330010,3.085795
1340010,3.106049
1350010,3.122182
1360010,3.194747
1370010,3.163249
1380010,3.203965
1390010,3.241959
1400010,3.263680
1410010,3.291268
1420010,3.344347
1430010,3.295109
1440010,3.368233
1450010,3.393724
1460010,3.370328
1470010,3.385623
1480010,4.519635
1490010,3.442893
1500010,3.455255
1510010,3.472435
1520010,3.488010
1530010,3.474810
1540010,3.602690
1550010,3.563229
1560010,3.578804
1570010,3.646480
1580010,3.654441
1590010,3.659540
1600010,3.677350
1610010,3.738740
1620010,3.740696
1630010,3.743768
1640010,3.813330
1650010,3.780924
1660010,3.912365
1670010,3.825693
1680010,3.846086
1690010,3.879191
1700010,3.941629
1710010,3.960695
1720010,3.943794
1730010,3.948543
1740010,3.987724
1750010,4.097095
1760010,4.070207
1770010,4.083825
1780010,4.087318
1790010,4.151013
1800010,4.135648
1810010,4.200670
1820010,4.194942
1830010,4.225953
1840010,4.191311
1850010,4.244391
1860010,4.271838
1870010,4.350409
1880010,4.317305
1890010,4.374225
1900010,4.383235
1910010,4.368428
1920010,4.401463
1930010,4.431495
1940010,4.449444
1950010,4.434289
1960010,4.499171
1970010,4.528505
1980010,4.583050
1990010,4.573412
2000010,4.634174
2010010,4.622092
2020010,4.673634
2030010,4.720568
2040010,4.672098
2050010,4.723641
2060010,4.731812
2070010,4.747038
2080010,4.791248
2090010,4.817019
2100010,4.826936
2110010,4.836575
2120010,4.848377
2130010,4.890911
2140010,4.905368
2150010,4.932187
2160010,4.957609
2170010,4.962707
2180010,5.009571
2190010,5.013343
2200010,5.019209
2210010,5.096174
2220010,5.085768
2230010,5.139755
2240010,5.179355
2250010,5.217977
2260010,5.192275
2270010,5.224682
2280010,5.232434
2290010,5.248568
2300010,5.289984
2310010,5.319037
2320010,5.370581
2330010,5.365971
2340010,5.385387
2350010,5.458720
2360010,5.409202
2370010,5.470453
2380010,5.502371
2390010,5.544275
2400010,5.489590
2410010,5.573189
2420010,5.555519
2430010,5.580244
2440010,5.598193
2450010,5.622149
2460010,5.666637
2470010,5.689405
2480010,5.713151
2490010,5.700161
2500010,5.909544
2510010,5.885030
2520010,5.760574
2530010,5.765463
2540010,5.855977
2550010,5.853113
2560010,6.020662
2570010,5.871272
2580010,5.934339
2590010,5.991818
2600010,6.115576
2610010,5.980503
2620010,6.021361
2630010,6.052580
2640010,6.080307
2650010,6.100700
2660010,6.102935
2670010,6.231513
2680010,6.203786
2690010,6.312389
2700010,6.229347
2710010,6.251627
2720010,6.310224
2730010,6.279773
2740010,6.406884
2750010,6.379995
2760010,6.341792
2770010,6.462408
2780010,6.465271
2790010,6.441945
2800010,6.477633
2810010,6.542586
2820010,6.532249
2830010,6.518211
2840010,6.566402
2850010,6.609912
2860010,6.561862
2870010,6.664808
2880010,6.647487
2890010,6.735487
2900010,6.730738
2910010,6.672979
2920010,6.749596
2930010,6.765798
2940010,6.769779
2950010,6.867138
2960010,6.919798
2970010,6.847791
2980010,6.883411
2990010,6.913652
3000010,6.945360
3010010,6.988313
3020010,6.997881
3030010,6.966313
3040010,7.043347
3050010,6.991316
3060010,7.031963
3070010,7.132046
3080010,7.074077
3090010,7.120312
3100010,7.111931
3110010,7.190293
3120010,7.152300
3130010,7.209360
3140010,7.215436
3150010,7.241766
3160010,7.254617
3170010,7.321804
3180010,7.322712
3190010,7.359588
3200010,7.373347
3210010,7.343315
3220010,7.487747
3230010,7.453106
3240010,7.503252
3250010,7.500807
3260010,7.606338
3270010,7.519874
3280010,7.588528
3290010,7.573931
3300010,7.595721
3310010,7.676598
3320010,7.644540
3330010,7.753004
3340010,7.692451
3350010,7.741689
3360010,7.809017
3370010,7.753982
3380010,7.862305
3390010,7.831994
3400010,7.870826
3410010,7.895620
3420010,7.885842
3430010,7.955753
3440010,8.038724
3450010,7.952680
3460010,8.042077
3470010,8.003385
3480010,7.976356
3490010,8.099346
3500010,8.004921
3510010,8.117785
3520010,8.163601
3530010,8.342463
3540010,8.597174
3550010,8.209347
3560010,8.284775
3570010,8.327867
3580010,8.237702
3590010,8.290921
3600010,8.389327
3610010,8.311315
3620010,8.351194
3630010,8.456584
3640010,8.391702
3650010,8.416007
3660010,8.547169
3670010,8.560439
3680010,8.598572
3690010,8.507429
3700010,8.503308
3710010,8.602692
3720010,8.634400
3730010,8.621619
3740010,8.603182
3750010,8.703962
3760010,8.772755
3770010,8.739721
3780010,8.849372
3790010,8.709759
3800010,8.790286
3810010,8.837987
3820010,8.881150
3830010,8.821016
3840010,8.840012
3850010,8.899238
3860010,8.887784
3870010,8.930597
3880010,8.992546
3890010,8.938977
3900010,9.005396
3910010,8.988774
3920010,9.065949
3930010,9.071326
3940010,9.120634
3950010,9.124266
3960010,9.063015
3970010,9.033822
3980010,9.144171
3990010,9.208146
4000010,9.197809
4010010,9.179441
4020010,9.253682
4030010,9.244254
4040010,9.281199
4050010,9.270165
4060010,9.303409
4070010,9.334768
4080010,9.382609
4090010,9.374577
4100010,9.402793
4110010,9.461670
4120010,9.446304
4130010,9.488209
4140010,9.489606
4150010,9.528787
4160010,9.535980
4170010,9.583822
4180010,9.591504
4190010,9.638019
4200010,9.671821
4210010,9.644583
4220010,9.650520
4230010,9.716101
4240010,9.725320
4250010,9.772044
4260010,9.804660
4270010,9.811155
4280010,9.855784
4290010,9.882043
4300010,9.890215
4310010,9.906837
4320010,9.934844
4330010,9.965225
4340010,10.021796
4350010,9.998888
4360010,10.004196
4370010,10.012995
4380010,10.063701
4390010,10.146742
4400010,10.122507
4410010,10.110773
4420010,10.131796
4430010,10.207504
4440010,10.217352
4450010,10.248920
4460010,10.235021
4470010,10.280767
4480010,10.315688
4490010,10.370862
4500010,10.455929
4510010,10.429808
4520010,10.532824
4530010,10.413535
4540010,10.488755
4550010,10.504190
4560010,10.486659
4570010,10.452228
4580010,10.565091
4590010,10.617821
4600010,10.581014
4610010,10.596589
4620010,10.633395
4630010,10.641078
4640010,10.631998
4650010,10.700793
4660010,10.721046
4670010,10.744443
4680010,10.787605
4690010,10.798779
4700010,10.817148
4710010,10.968564
4720010,10.808068
4730010,10.922888
4740010,10.875535
4750010,10.985814
4760010,11.038544
4770010,10.990354
4780010,11.027300
4790010,11.125566
4800010,11.054677
4810010,11.043783
4820010,11.133878
4830010,11.163001
4840010,11.194640
4850010,11.248976
4860010,11.244925
4870010,11.274817
4880010,11.238220
4890010,11.298772
4900010,12.325090
4910010,11.233751
4920010,11.290880
4930010,11.339071
4940010,11.285712
4950010,11.389147
4960010,11.370360
4970010,11.398366
4980010,11.451446
4990010,11.481827
5000010,11.553554
5010010,11.515281
5020010,11.590779
5030010,11.531414
5040010,11.592176
5050010,11.586518
5060010,11.620601
5070010,11.634011
5080010,11.690512
5090010,11.731998
5100010,11.710696
5110010,11.769992
5120010,11.821814
5130010,11.815039
5140010,11.796671
5150010,11.812944
5160010,11.853242
5170010,11.853103
5180010,11.875033
5190010,11.947388
5200010,11.965127
5210010,11.910233
5220010,12.013598
5230010,12.039648
5240010,12.028054
5250010,12.019953
5260010,12.121781
5270010,12.139451
5280010,12.095941
5290010,12.111445
5300010,12.156563
5310010,12.201750
5320010,12.202239
5330010,12.230106
5340010,12.243166
5350010,12.311122
5360010,12.346531
5370010,12.388575
5380010,12.354143
5390010,12.341502
5400010,12.331585
5410010,12.420074
5420010,12.429293
5430010,12.467425
5440010,12.430201
5450010,12.548023
5460010,12.571489
5470010,12.550188
5480010,12.621286
5490010,12.458137
5500010,12.631483
5510010,12.669616
5520010,12.693990
5530010,12.710194
5540010,12.728771
5550010,12.713895
5560010,12.765648
5570010,12.781642
5580010,12.812162
5590010,12.841565
5600010,12.866709
5610010,12.890873
5620010,13.023501
5630010,13.784212
5640010,13.026365
5650010,12.969305
5660010,12.990397
5670010,13.008765
5680010,13.050391
5690010,13.117299
5700010,13.091667
5710010,13.213749
5720010,13.131057
5730010,13.205019
5740010,13.161368
5750010,13.238613
5760010,13.243013
5770010,13.290854
5780010,13.284708
5790010,13.337996
5800010,13.319419
5810010,13.406650
5820010,13.324168
5830010,13.427324
5840010,13.450651
5850010,13.496955
5860010,13.428161
5870010,13.546612
5880010,13.515184
5890010,13.593685
5900010,13.605000
5910010,13.560651
5920010,13.558345
5930010,13.627349
5940010,13.648790
5950010,13.721355
5960010,13.754181
5970010,13.696002
5980010,13.625533
5990010,13.701729
6000010,13.728968
6010010,13.903082
6020010,13.857266
6030010,13.814384
6040010,13.876543
