n,tempo_ms
10,0.000605
1010,1.104357
2010,4.125087
3010,9.153812
4010,16.206831
5010,24.962409
6010,35.900859
7010,48.884626
8010,62.892882
9010,78.091487
10010,94.579720
11010,113.717711
12010,138.797084
13010,164.076359
14010,189.365870
15010,221.617174
16010,242.932462
17010,273.872905
18010,296.681007
19010,334.463553
20010,385.460558
21010,450.377831
22010,464.803067
23010,519.734178
24010,551.142058
25010,616.947612
26010,648.726233
27010,703.652523
28010,747.232764
29010,831.442534
30010,875.522085
31010,912.485652
32010,964.924241
33010,1107.946910
34010,1158.306003
35010,1223.741244
36010,1237.760412
37010,1283.110360
38010,1376.098251
39010,1439.283681
40010,1528.882011
41010,1630.854883
42010,1712.267886
43010,1825.748717
44010,1924.672579
45010,2123.834498
46010,2102.668405
47010,2215.223495
48010,2230.521981
49010,2328.326363
