n,tempo_ms
10,0.000651
1010,1.307372
2010,4.218727
3010,9.398923
4010,16.439827
5010,25.326121
6010,36.289683
7010,49.483237
8010,62.711969
9010,83.778605
10010,99.071715
11010,116.473739
12010,136.307450
13010,159.466067
14010,184.675507
15010,211.893420
16010,239.239170
17010,271.308840
18010,311.787567
19010,368.195528
20010,423.770142
21010,447.887265
22010,462.816655
23010,558.167191
24010,560.861025
25010,731.606379
26010,744.125960
27010,692.271172
28010,741.525593
29010,792.553655
30010,831.492762
31010,876.177600
32010,965.456578
33010,1018.673222
34010,1070.638698
35010,1111.802764
36010,1178.829733
37010,1239.924433
38010,1320.683680
39010,1375.966018
40010,1458.979531
41010,1532.965903
42010,1595.063778
43010,1677.606988
44010,1751.752059
45010,1830.339554
46010,1956.513432
47010,2154.813185
48010,2162.099677
49010,2218.775380
